Brand,Price,Horsepower,Fuel Efficiency,Encoded Brand,scaled horsepower,scaled fuel efficiency,scaled brand,Performance Index
Brand C,91942,382,15.3,6,0.705,0.212,0.625,0.002958278
Brand A,70075,197,32.6,4,0.2425,0.904,0.375,0.002107456
Brand C,84524,188,34.9,6,0.22,0.996,0.625,0.001680824
Brand E,68939,258,15.1,2,0.395,0.204,0.125,0.002685418
Brand X,66505,277,13,8,0.4425,0.12,0.875,0.002974212
Brand W,92762,125,18.5,1,0.0625,0.34,0,0.001003105
Brand Y,99356,284,20.6,3,0.46,0.424,0.25,0.002063086
Brand A,38486,445,22,4,0.8625,0.48,0.375,0.008265343
Brand A,54628,426,13.5,4,0.815,0.14,0.375,0.005532877
Brand D,93925,250,22.1,9,0.375,0.484,1,0.001933777
Brand D,91392,196,34.6,9,0.24,0.984,1,0.001614802
Brand W,44426,243,28.9,1,0.3575,0.756,0,0.004023995
Brand B,80911,380,14,5,0.7,0.16,0.5,0.003339472
Brand Z,70801,434,12.1,7,0.835,0.084,0.75,0.00434217
Brand Y,56553,267,26.6,3,0.4175,0.664,0.25,0.003445971
Brand C,98956,302,19.7,6,0.505,0.388,0.625,0.002196027
Brand D,41342,397,20.9,9,0.7425,0.436,1,0.006873639
Brand Y,56788,371,16.6,3,0.6775,0.264,0.25,0.004660844
Brand W,73681,368,22.8,1,0.67,0.512,0,0.003588985
Brand C,63849,448,23.3,6,0.87,0.532,0.625,0.005021065
Brand D,66440,392,31.5,9,0.73,0.86,1,0.004272276
Brand D,32201,443,31.4,9,0.8575,0.856,1,0.009922673
Brand C,58132,271,14.4,6,0.4275,0.176,0.625,0.003337577
Brand W,55534,289,21.3,1,0.4725,0.452,0,0.003757878
Brand D,58482,326,28.2,9,0.565,0.728,1,0.004046715
Brand D,62941,415,30.4,9,0.7875,0.816,1,0.004760331
Brand Z,38558,425,33.3,7,0.8125,0.932,0.75,0.007974739
Brand Z,89631,159,30.4,7,0.1475,0.816,0.75,0.001343508
Brand Y,81392,123,28.8,3,0.0575,0.752,0.25,0.001163996
Brand Z,88737,133,15.3,7,0.0825,0.212,0.75,0.001100894
Brand Y,83940,418,30.6,3,0.795,0.824,0.25,0.003595187
Brand W,78623,406,28.6,1,0.765,0.744,0,0.003723847
Brand E,54572,462,34.2,2,0.905,0.968,0.125,0.006114124
Brand X,90994,412,21.5,8,0.78,0.46,0.875,0.003240324
Brand E,93796,301,19.8,2,0.5025,0.392,0.125,0.002309693
Brand Y,87899,375,34.5,3,0.6875,0.98,0.25,0.003104131
Brand X,53136,348,29.8,8,0.62,0.792,0.875,0.00475271
Brand D,59191,372,18,9,0.68,0.32,1,0.004490548
Brand W,31549,293,20,1,0.4825,0.4,0,0.006691179
Brand Y,65818,191,23.1,3,0.2275,0.524,0.25,0.00213665
Brand W,32910,469,27.6,1,0.9225,0.704,0,0.010227287
Brand A,38830,145,28,4,0.1125,0.72,0.375,0.002830286
Brand B,49391,377,29,5,0.6925,0.76,0.5,0.005519224
Brand Z,91045,479,15.4,7,0.9475,0.216,0.75,0.003733538
Brand D,83677,451,14.2,9,0.8775,0.168,1,0.003823751
Brand A,86547,237,22,4,0.3425,0.48,0.375,0.001993137
Brand B,63487,399,26.4,5,0.7475,0.656,0.5,0.004524076
Brand C,56290,206,19.9,6,0.265,0.396,0.625,0.002667792
Brand D,47458,388,24.8,9,0.72,0.592,1,0.005879725
Brand E,61479,342,22.3,2,0.605,0.492,0.125,0.00400283
Brand X,87307,488,14.2,8,0.97,0.168,0.875,0.003961423
Brand D,71988,343,16.1,9,0.6075,0.244,1,0.003402373
Brand E,58456,138,30.1,2,0.095,0.804,0.125,0.001807
Brand X,66884,389,34,8,0.7225,0.96,0.875,0.004223731
